track_id,name,artist,spotify_preview_url,spotify_id,tags,genre,year,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,description,playcount,user
TRRUDBE12903CF1239,Tear Garden,IAMX,https://p.scdn.co/mp3-preview/92ea43e4d8c2fb83c06d580ce108e3f8c1936504?cid=774b29d4f13844c495f206cafdad9c86,0Ibc4mNHH7bC7ke3a02h3b,"electronic, alternative, british, electro, synthpop",Electronic,2009,295986,0.499,0.945,7,-4.881,0,0.0392,0.00538,0.33,0.126,0.78,155.972,4,"The song 'Tear Garden' by IAMX is a Electronic track released in 2009. With a duration of 4.9331 minutes, it has a tempo of 155.972 BPM. The song's energy level is 0.945, its danceability is 0.499, and its acousticness is 0.00538. It has been tagged with: [electronic, alternative, british, electro, synthpop]",85,user_11062|user_23522|user_35482|user_50625|user_205496
TRBRLNJ128F92F622E,A Crippling Blow,The Killers,https://p.scdn.co/mp3-preview/fd1b1fcb9fe47849660d1f5501415aaaf00515df?cid=774b29d4f13844c495f206cafdad9c86,0uYVzb58FTmWj0nA2Cfipn,"rock, indie, alternative_rock, indie_rock, acoustic",Rock,2008,216613,0.614,0.945,8,-4.542,0,0.06,0.00266,0.0727,0.222,0.809,122.948,4,"The song 'A Crippling Blow' by The Killers is a Rock track released in 2008. With a duration of 3.6102166666666666 minutes, it has a tempo of 122.948 BPM. The song's energy level is 0.945, its danceability is 0.614, and its acousticness is 0.00266. It has been tagged with: [rock, indie, alternative_rock, indie_rock, acoustic]",3757,user_143|user_368|user_845|user_864|user_1471
TRFXPOY128F9331967,Ain't Got Nothin',Oasis,https://p.scdn.co/mp3-preview/c63d88b7491aec546764682e57b2e7bc6e4a8918?cid=774b29d4f13844c495f206cafdad9c86,0gzOLd0AY6mojM97sZ2NEu,"rock, psychedelic, psychedelic_rock, britpop",Electronic,2008,134813,0.376,0.975,11,-3.504,1,0.0797,0.00382,0.00316,0.123,0.0847,112.759,3,"The song 'Ain't Got Nothin'' by Oasis is a Electronic track released in 2008. With a duration of 2.2468833333333333 minutes, it has a tempo of 112.759 BPM. The song's energy level is 0.975, its danceability is 0.376, and its acousticness is 0.00382. It has been tagged with: [rock, psychedelic, psychedelic_rock, britpop]",137,user_21057|user_38154|user_52603|user_66053|user_75951
TRORKCI128F9345DCD,Join the Ranks,Rise Against,https://p.scdn.co/mp3-preview/bd046cf732c8a22c5a511b49f29ad011e0b28d98?cid=774b29d4f13844c495f206cafdad9c86,0ss8t96l2lf5o4s6zJR6l3,"punk, hardcore, punk_rock",Rock,2013,88880,0.338,0.995,8,-3.551,1,0.345,0.000261,0.00164,0.273,0.168,171.87,4,"The song 'Join the Ranks' by Rise Against is a Rock track released in 2013. With a duration of 1.4813333333333334 minutes, it has a tempo of 171.87 BPM. The song's energy level is 0.995, its danceability is 0.338, and its acousticness is 0.000261. It has been tagged with: [punk, hardcore, punk_rock]",49,user_6759|user_48886|user_56412|user_86124|user_90329
TRENNVQ128F9321BCB,Lily and Parrots,Sun Kil Moon,https://p.scdn.co/mp3-preview/b4a64c87eb2ea29bb17316541f22482e4a08b123?cid=774b29d4f13844c495f206cafdad9c86,2EqaPYG04HN9eJ2u6OzRmF,"rock, indie, male_vocalists",Rock,2007,258040,0.552,0.841,10,-6.625,1,0.0368,0.058,0.00432,0.148,0.678,117.412,4,"The song 'Lily and Parrots' by Sun Kil Moon is a Rock track released in 2007. With a duration of 4.300666666666666 minutes, it has a tempo of 117.412 BPM. The song's energy level is 0.841, its danceability is 0.552, and its acousticness is 0.058. It has been tagged with: [rock, indie, male_vocalists]",381,user_5894|user_8867|user_9409|user_10522|user_15210
TROLKMA128F4274A30,Phone Home,The Dillinger Escape Plan,https://p.scdn.co/mp3-preview/43b2ac97b4bf63e09686ca5128e24a619e5ce425?cid=774b29d4f13844c495f206cafdad9c86,4A4WFWShfFMs64EBnaneMS,"hardcore, industrial, metalcore",Rap,2004,255773,0.523,0.962,6,-4.836,0,0.0675,0.00241,0.825,0.128,0.341,120.026,4,"The song 'Phone Home' by The Dillinger Escape Plan is a Rap track released in 2004. With a duration of 4.262883333333333 minutes, it has a tempo of 120.026 BPM. The song's energy level is 0.962, its danceability is 0.523, and its acousticness is 0.00241. It has been tagged with: [hardcore, industrial, metalcore]",4784,user_385|user_415|user_1302|user_1569|user_1906
TRFVFAE128F92E4CEE,Don't Try To Break Me,Ari Koivunen,https://p.scdn.co/mp3-preview/779cea91f3e78e42b0c80f1e500704c654f8fb00?cid=774b29d4f13844c495f206cafdad9c86,1F8dQAVvv3Bk0uZw7ijSmW,"rock, dark_ambient, grindcore",Rock,2007,254640,0.453,0.958,9,-3.939,0,0.102,0.00016,0.0,0.276,0.276,100.038,4,"The song 'Don't Try To Break Me' by Ari Koivunen is a Rock track released in 2007. With a duration of 4.244 minutes, it has a tempo of 100.038 BPM. The song's energy level is 0.958, its danceability is 0.453, and its acousticness is 0.00016. It has been tagged with: [rock, dark_ambient, grindcore]",28,user_6397|user_78939|user_303564|user_957390
TRHJEEM128EF342D6B,In Context,Field Music,https://p.scdn.co/mp3-preview/726c3becbd0f0a5fd89834bed9b41cac69b16ced?cid=774b29d4f13844c495f206cafdad9c86,3CpkJvmqcojxPEK1DApuSf,"indie, avant_garde",Rock,2007,217212,0.731,0.588,7,-8.371,1,0.0453,0.228,0.299,0.1,0.849,145.91,4,"The song 'In Context' by Field Music is a Rock track released in 2007. With a duration of 3.6202 minutes, it has a tempo of 145.91 BPM. The song's energy level is 0.588, its danceability is 0.731, and its acousticness is 0.228. It has been tagged with: [indie, avant_garde]",72,user_13991|user_19262|user_48858|user_71209|user_86804
TRFPHYZ128F426ECCC,Time Will,Hercules and Love Affair,https://p.scdn.co/mp3-preview/53e0fb8e800a3b2ffc0a4f6ccb23654269312d83?cid=774b29d4f13844c495f206cafdad9c86,1Zwptx5Sp1Ypo5DmmMULfd,"electronic, dance, beautiful, synthpop",Electronic,2008,272920,0.672,0.56,7,-6.033,0,0.0302,0.0672,0.0,0.144,0.601,101.106,4,"The song 'Time Will' by Hercules and Love Affair is a Electronic track released in 2008. With a duration of 4.548666666666667 minutes, it has a tempo of 101.106 BPM. The song's energy level is 0.56, its danceability is 0.672, and its acousticness is 0.0672. It has been tagged with: [electronic, dance, beautiful, synthpop]",826,user_3942|user_5724|user_6135|user_14886|user_21410
TRGVQMG12903CAE801,Planting Seeds,dredg,https://p.scdn.co/mp3-preview/5e002322fced9dfa34525741cb5a9411f8df8ed9?cid=774b29d4f13844c495f206cafdad9c86,0JeCQ9zFlApQxV2bJFAw7q,"alternative, alternative_rock, progressive_rock",Rock,2005,252826,0.425,0.813,0,-5.526,1,0.0342,0.00162,2.97e-06,0.509,0.338,77.028,4,"The song 'Planting Seeds' by dredg is a Rock track released in 2005. With a duration of 4.213766666666666 minutes, it has a tempo of 77.028 BPM. The song's energy level is 0.813, its danceability is 0.425, and its acousticness is 0.00162. It has been tagged with: [alternative, alternative_rock, progressive_rock]",126,user_24137|user_40809|user_53945|user_63051|user_72575
